"fish_level","conv_type","conv_years","conv_period","yield_mean","yield_min","yield_max"
0,"steady",28.8,NA,0,0,0
5,"steady",6.4,NA,0.0426707217095674,0.0425019036927021,0.0427976268113509
10,"steady",6.4,NA,0.0533102855501325,0.052518040329006,0.0538499706703618
15,"steady",8.2,NA,0.0499893876872702,0.0474102194275057,0.0526567286032886
20,"steady",7,NA,0.0432706283291159,0.0414506556931742,0.0451734418917948
25,"steady",6.6,NA,0.0376207677387832,0.036150202295214,0.0391375216830224
30,"steady",25.8,NA,0.024148424945813,0.0223306076413761,0.0269354902112369
35,"steady",1.8,NA,0.0225198585649193,0.0225114304267975,0.0225304241011717
40,"steady",4.8,NA,0.022602221705956,0.0225695237351463,0.0226873567955275
45,"steady",0.8,NA,0.0230176094005376,0.0229887758898775,0.0230464429111977
50,"steady",0.8,NA,0.0233977983980291,0.0233651359236461,0.0234304608724122
55,"steady",0.6,NA,0.0236968286117376,0.0236657676649507,0.0237278895585244
60,"steady",0.6,NA,0.0239595364967186,0.023933171020395,0.0239859019730422
65,"steady",0.6,NA,0.0241776674844136,0.0241566410725478,0.0241986938962795
70,"steady",0.6,NA,0.0243617158338032,0.0243426545859841,0.0243807770816223
75,"steady",0.6,NA,0.024541786805833,0.0245194391535211,0.0245641344581448
80,"steady",0.6,NA,0.0247436045469964,0.0247156732729952,0.0247715358209976
85,"steady",0.6,NA,0.0249718321470084,0.0249390651106736,0.0250045991833432
90,"steady",0.6,NA,0.0252213206549112,0.0251846918646053,0.0252579494452171
95,"steady",0.6,NA,0.0254884146428462,0.0254484767796873,0.0255283525060051
100,"steady",0.6,NA,0.0257701046112956,0.0257275825410861,0.0258126266815051
