"fish_level","mean_total","mean_yield","rel_amplitude"
0.5,0.566860709007727,0.111941570031576,0.304057893377594
1,0.558668871926177,0.126504319041106,0.502709342462916
2,0.576509662602363,0.131715171273512,0.70133538762379
3,0.594616466688429,0.130426419758653,0.822738909693435
4,0.608733290286422,0.127285081347373,0.908137422795682
5,0.619376455525827,0.123474569791482,0.957051708414913
7,0.633314538829421,0.116136558031158,1.05133717147293
9,0.641072627205365,0.111078398646383,1.01785925181207
15,0.648168251431079,0.106108077378603,0.816128000579562
20,0.647746714259557,0.104568762848867,0.726843918793582
30,0.644224850762239,0.102223453426677,0.64733341681664
50,0.638364582492976,0.0994305882257949,0.592935780572817
75,0.634193543202403,0.0976802172602137,0.568957150342408
100,0.631768032960283,0.0967155705076099,0.557763849339668
