"fish_level","min_total","mean_total","min_selected","mean_selected","mean_juvenile"
0,0.0933645558992031,0.391462907701003,0.00619069042370488,0.0178395105795394,0.373623397121464
10,0.0518592830513511,0.489217970538916,0.00104257376441105,0.0042103680752736,0.485007602463643
20,0.0418915438234017,0.432508054003422,0.000346714225655665,0.00214810153242239,0.430359952471
30,0.0382865689687199,0.378911464329707,0.000232406075250061,0.00199364502151157,0.376917819308195
1000,0.0106714900978713,0.290735893477481,2.62086969638154e-06,8.36060448623507e-05,0.290652287432618
