"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","knife_edge_size"
1,0.44817236767015,0.177660055584075,0.0115687902376488,0.436603577432501,0.0666712600316876,1.05366297706956,3
2,0.479196839542444,0.126909234278182,0.00780514305292127,0.471391696489523,0.100267921043724,1.32949474687099,3
3,0.489328437619244,0.0864338626598954,0.00507442015943504,0.484254017459809,0.116630789093088,1.52550175439135,3
5,0.511224247660233,0.0511744691333067,0.00216861996291606,0.509055627697317,0.108023948037898,1.6974665121563,3
9,0.381614807497793,0.0160503675818004,0.000473184031714144,0.381141623466079,0.127400540442668,1.87794446660411,3
20,0.0739246861996381,0.0535221086253458,0.000457093562279265,0.0734675926373588,0.362571490069585,0.566518199575718,3
50,1.57514142026224e-09,9.99427157804691e-15,8.46097632863334e-13,1.57429532262938e-09,1.51772796261206e-08,1.99999808304388,3
100,5.31278493281836e-20,7.16540722665465e-36,4.59870204551626e-25,5.31273894579791e-20,7.63793207527851e-19,2,3
1,0.430090753108511,0.193117676968691,0.0123446937625844,0.417746059345926,0.0405111502696073,0.948603478509981,5
2,0.475317031973755,0.148359933035412,0.00933856921456987,0.465978462759185,0.0650477213295433,1.20419685202119,5
3,0.497254358105448,0.117917162803777,0.00692339275834266,0.490330965347106,0.0801982933267564,1.36261174976386,5
5,0.51229213206165,0.084114020592775,0.00373649375803673,0.508555638303613,0.091005130059014,1.52717195575471,5
9,0.491879272889488,0.103184211264185,0.000461669966497572,0.491417602922991,0.0523887796623748,1.38873137303278,5
20,0.227189841405081,0.00738557289484361,0.000268209045551781,0.22692163235953,0.174684384944822,1.91453144578643,5
50,0.0368732570351833,0.0360915324447829,7.57566308365906e-05,0.0367975004043467,0.201899168752951,0.0368347052557482,5
100,1.65500533274838e-06,5.0820356249706e-09,3.96424931380926e-10,1.654608907817e-06,1.28788943157908e-05,1.99839715678526,5
1,0.400780477752861,0.215448198519893,0.0129653707810912,0.38781510697177,0.0268452224220429,0.803957609956801,7
2,0.436395201645079,0.181200130162311,0.0103815531328318,0.426013648512247,0.0447185664376057,1.00270025466531,7
3,0.461496973686538,0.153567356280578,0.00841738387743392,0.453079589809104,0.0573984940698346,1.15332306862041,7
5,0.484762883723608,0.120357440247453,0.00555508682642045,0.479207796897188,0.0718005409315159,1.32593687531167,7
9,0.4797129102959,0.068592096444029,0.00246416749639938,0.4772487427995,0.0718454720109626,1.57746222713633,7
20,0.355684477203889,0.0377747628257959,0.000546578194809015,0.35513789900908,0.0908514799990051,1.69884678290609,7
50,0.182866052007398,0.0282379596274264,0.000170250268852958,0.182695801738545,0.210094040288627,1.62006104147717,7
100,0.0987673008009191,0.0925954716040721,6.67601396334338e-05,0.0987005406612857,0.35441339889826,0.114950055212238,7
1,0.375327039810161,0.234922782873028,0.0145881528655388,0.360738886944622,0.0145881528655388,0.674722807692157,10
2,0.387110884174858,0.220936584476382,0.0124623744897226,0.374648509685136,0.0249247489794452,0.756618773987558,10
3,0.397679323724921,0.209728303420511,0.0108674651059087,0.386811858619012,0.0326023953177261,0.821808542674097,10
5,0.413088002977782,0.18781398751534,0.00856468524255061,0.404523317735231,0.042823426212753,0.935213770271886,10
9,0.42579084178501,0.160088816719905,0.00564707500130222,0.420143766783708,0.05082367501172,1.06957768026918,10
20,0.415251514787287,0.170546959633746,0.00218883379462392,0.413062680992663,0.0437766758924785,1.00836013772817,10
50,0.368663856042077,0.102191660035752,0.00150954143558042,0.367154314606497,0.0754770717790209,1.30169992398556,10
100,0.362158021829921,0.0834744635649823,0.000777080355394078,0.361380941474527,0.0777080355394078,1.38939591796512,10
1,0.364898133738278,0.252337316857688,0.0173500306254396,0.347548103112838,0.00143361759634613,0.57440426175761,15
2,0.36526486909943,0.251308460551783,0.0172006454550696,0.34806422364436,0.00248325777543918,0.58025964669322,15
3,0.365546582809161,0.25053904777093,0.0170855191098748,0.348461063699286,0.0032823717170488,0.584629728738156,15
5,0.365947908217066,0.249466149323098,0.0169202193647281,0.349027688852338,0.00441475526925053,0.590702173007049,15
9,0.366411512655323,0.248245277274138,0.0167261309791002,0.349685381676223,0.00572189888783112,0.597563877088612,15
20,0.366919606422689,0.246902376424579,0.0165076670148533,0.350411939407835,0.00716465413602971,0.605019035952437,15
50,0.367267058901225,0.245962530177048,0.0163539555519617,0.350913103349263,0.00816194317801644,0.610157910456736,15
100,0.36740338393769,0.245586024945381,0.0162926750265074,0.351110708911183,0.00855541756421196,0.612195426873745,15
1,0.364424871497307,0.253733018388661,0.0175450609719312,0.346879810525376,5.40823204529364e-05,0.566463925803184,20
2,0.364439170505118,0.253697872688151,0.017540539824177,0.346898630680942,9.58028821291231e-05,0.566673284426215,20
3,0.364450266285685,0.2536702546005,0.0175369303845967,0.346913335901088,0.00012891207855483,0.566837544770973,20
5,0.364466315657383,0.253629717933944,0.0175315367517132,0.34693477890567,0.000178045225610852,0.567078177252292,20
9,0.36448533589891,0.253580652186421,0.0175248465596632,0.346960489339247,0.000238395023411978,0.567368581784194,20
20,0.364506947622285,0.253523257042039,0.0175167844268144,0.34699016319547,0.000310212041610729,0.567706797245036,20
50,0.364522239896837,0.253481298567047,0.0175107280673782,0.347011511829459,0.000363495993981989,0.567952748886651,20
100,0.364528342469893,0.253464168957891,0.0175082174289925,0.347020125040901,0.000385417075281736,0.568052774192147,20
