"min_total","mean_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","schedule","boost_level","mean_effort","effective_window","n_bursts"
0.322678645453788,0.334137418636689,0.00802412105369171,0.326113297582998,0.0160482421073834,0.0572880952641579,"Constant",NA,2,NA,NA
0.326322412721393,0.332440366457467,0.00790349134400502,0.324536875113462,0.0167778718889754,0.0239942050477131,"Threshold (peaks)",3,2.12264093165976,NA,0
0.309913761232415,0.330990835251603,0.00754000983086928,0.323450825420734,0.0193053812834752,0.128145287225217,"Threshold (troughs)",3,2.63422716334972,3.8,1
0.329143407806019,0.332252149823376,0.00788027154022698,0.324371878283149,0.0168298602322271,0.0121351300407335,"Threshold (peaks)",5,2.13564754758677,NA,0
0.282221992109915,0.329301699104477,0.0069565662901779,0.322345132814299,0.0236290812569534,0.272542639663345,"Threshold (troughs)",5,3.90026584845677,3.8,2
0.329194354869179,0.332122170907211,0.00786958515027815,0.324252585756932,0.0169015076036814,0.0114221885950939,"Threshold (peaks)",7,2.14765976889891,NA,0
0.264065366598289,0.331713874264025,0.00664881320201428,0.325065061062011,0.0268317981823489,0.378101558466225,"Threshold (troughs)",7,5.24148907190831,3.9,2
0.329210737299085,0.332035642124567,0.00786251812176984,0.324173124002797,0.0169495465810889,0.0110179403030286,"Threshold (peaks)",9,2.15570403324521,NA,0
0.250583800155556,0.335853220077694,0.00635564535364826,0.329497574724046,0.0293482056630698,0.460684224196173,"Threshold (troughs)",9,6.65828452846345,4,2
0.329224354216367,0.331874742037437,0.00784943867430367,0.324025303363134,0.0170391492906558,0.0103357374212644,"Threshold (peaks)",15,2.17071729161898,NA,0
0.227409837403786,0.349861474014903,0.00535198127546154,0.344509492739442,0.0326030601989126,0.609035919004494,"Threshold (troughs)",15,11.1000056873721,4.2,1
0.329225443863582,0.331789298475791,0.0078425184557711,0.323946780020019,0.0170868218600551,0.00999892024505115,"Threshold (peaks)",20,2.17871413128873,NA,0
0.215035172163678,0.32623567693888,0.0036763596608311,0.322559317278049,0.0507288058399197,0.674323984305652,"Threshold (troughs)",20,17.9000015065591,NA,0
0.329221551392455,0.331672390833622,0.00783307164317213,0.32383931919045,0.0171521316113625,0.00956020902408415,"Threshold (peaks)",30,2.18968259085435,NA,0
0.212645313382293,0.284407320508397,0.00227146222580813,0.282135858282589,0.068143866774244,0.48012506947289,"Threshold (troughs)",30,30,NA,0
