"rel_amplitude","mean_yield","threshold_frac","threshold_bp","fish_level","schedule","mean_effort","background_level","effective_window","n_bursts","resource_decrease"
0.714019765901518,1.61010512502455e-05,NA,NA,0.5,"Constant",0.5,NA,NA,NA,0.005
0.170520545605334,3.7364208072553e-06,0.5,3.70210829389887e-05,0.5,"Threshold (peaks)",0.101343388704973,0,1.06666666666667,6,0.005
1.10962343626386,7.09045831460616e-06,0.5,3.70210829389887e-05,0.5,"Threshold (troughs)",0.324099952645491,0,3.91999999999999,5,0.005
0.23124000558343,6.14281887135787e-06,0.5,3.70210829389887e-05,0.5,"Threshold (peaks)",0.169039368020989,0.05,1.53333333333333,6,0.005
1.07816597445305,8.26465690067899e-06,0.5,3.70210829389887e-05,0.5,"Threshold (troughs)",0.343426286837382,0.05,3.91999999999999,5,0.005
0.309130994930583,7.88000453031462e-06,0.5,3.70210829389887e-05,0.5,"Threshold (peaks)",0.219740147536147,0.1,1.56666666666666,6,0.005
1.04447277877691,9.22283636610531e-06,0.5,3.70210829389887e-05,0.5,"Threshold (troughs)",0.351795786416045,0.1,3.79999999999999,5,0.005
0.393222934381979,9.66092433484602e-06,0.5,3.70210829389887e-05,0.5,"Threshold (peaks)",0.270481185265223,0.15,1.76666666666666,6,0.005
1.00995206275223,1.03158071459435e-05,0.5,3.70210829389887e-05,0.5,"Threshold (troughs)",0.362744176249103,0.15,3.63999999999999,5,0.005
0.45904253516258,1.14560111312252e-05,0.5,3.70210829389887e-05,0.5,"Threshold (peaks)",0.318733905076413,0.2,2,6,0.005
0.969760650003438,1.14326958246717e-05,0.5,3.70210829389887e-05,0.5,"Threshold (troughs)",0.379905795746516,0.2,3,6,0.005
0.55162717478803,1.32668574070967e-05,0.5,3.70210829389887e-05,0.5,"Threshold (peaks)",0.381492334209642,0.3,2.1,6,0.005
0.893862284888488,1.30047376876894e-05,0.5,3.70210829389887e-05,0.5,"Threshold (troughs)",0.423550188698846,0.3,3.13333333333333,6,0.005
0.631100121409705,1.44544103183464e-05,0.5,3.70210829389887e-05,0.5,"Threshold (peaks)",0.43714496377567,0.4,2.24,5,0.005
0.807336337516067,1.45997669526448e-05,0.5,3.70210829389887e-05,0.5,"Threshold (troughs)",0.465389472990576,0.4,3.91999999999999,5,0.005
