"min_total","mean_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","schedule","boost_level","mean_effort","effective_window","n_bursts"
0.352093434055513,0.35268310048417,0.00692673387640062,0.34575636660777,0.0138534677528012,0.00541120696654863,"Constant",NA,2,NA,NA
0.352209419163724,0.352412799250946,0.00692440721195396,0.345488392038992,0.0138846583817417,0.00181383814071694,"Threshold (peaks)",3,2.00517586211429,NA,0
0.335569238194606,0.336200572184307,0.00607099640219907,0.330129575782108,0.0182129892065972,0.00703328230245927,"Threshold (troughs)",3,3,NA,0
0.352195762636154,0.352397424891634,0.0069236028058167,0.345473822085817,0.013888579897702,0.00179666031862158,"Threshold (peaks)",5,2.00597530888005,NA,0
0.310717960104357,0.31141798488966,0.00491705077111803,0.306500934118542,0.0245852538555901,0.00923428627607326,"Threshold (troughs)",5,5,NA,0
0.352188988433356,0.352389998056126,0.00692321190424581,0.34546678615188,0.0138905001483241,0.00179017841240822,"Threshold (peaks)",7,2.00636596638659,NA,0
0.293424603987384,0.294291707592429,0.00417900345241067,0.290112704140018,0.0292530241668747,0.00730497192189915,"Threshold (troughs)",7,7,NA,0
0.352184409465651,0.352385024153886,0.00692294960558683,0.345462074548299,0.0138917913338888,0.00178628057408243,"Threshold (peaks)",9,2.00662851076372,NA,0
0.280900787451628,0.282130402688557,0.00366112694261891,0.278469275745938,0.0329501424835702,0.00659122218655125,"Threshold (troughs)",9,9,NA,0
0.352175780575914,0.35237571866862,0.00692245851538511,0.345453260153235,0.0138942250855921,0.00177971616294953,"Threshold (peaks)",15,2.00712246799594,NA,0
0.258915675903186,0.261131722898197,0.00271062979272742,0.258421093105469,0.0406594468909114,0.0130516967006635,"Threshold (troughs)",15,15,NA,0
0.352171151568088,0.352370758217682,0.00692219641726948,0.345448561800412,0.0138955264128295,0.00177653414998902,"Threshold (peaks)",20,2.00738647242917,NA,0
0.250698848569773,0.251771360532905,0.00224098215971496,0.24953037837319,0.0448196431942992,0.0114240819803051,"Threshold (troughs)",20,20,NA,0
0.352164778761379,0.352363953948783,0.00692183681583911,0.345442117132944,0.013897320025179,0.00177245587053598,"Threshold (peaks)",30,2.0077499014012,NA,0
0.239204228769004,0.241171950270375,0.00167435813650501,0.23949759213387,0.0502307440951502,0.0225053696424321,"Threshold (troughs)",30,30,NA,0
