"time","value","type","resource_decrease"
600,26329.2947191731,"settled",0.001
600,49336.2561862576,"settled",0.00187381742286038
600,92447.0877197211,"settled",0.00351119173421513
600,173228.913933647,"settled",0.00657933224657568
600,324599.310803571,"settled",0.0123284673944207
600,608239.800146988,"settled",0.0231012970008316
600,1139730.2922182,"settled",0.0432876128108306
600,2135646.43699474,"settled",0.0811130830789687
600,4001811.4610478,"settled",0.151991108295293
600,7498663.99713543,"settled",0.28480358684358
600,14051127.2045848,"settled",0.533669923120631
600,26329246.9260852,"settled",1
