"resource_decrease","capacity_mult","rel_amplitude","perturbed_verdict","error"
0.001,1,4.21755726170646e-07,"settled",NA
0.00153412740463439,1,6.38930591639259e-07,"settled",NA
0.00235354689365025,1,5.8931392313988e-07,"settled",NA
0.003610640787641,1,4.48789549979984e-07,"settled",NA
0.00553918298061075,1,2.98496308117624e-07,"settled",NA
0.00849781240983936,1,1.86663128925264e-07,"settled",NA
0.0130367268973768,1,1.16365285368678e-07,"settled",NA
0.02,1,7.3438136306893e-08,"settled",NA
0.001,1.31607401295249,1.76976497451666e-07,"settled",NA
0.00153412740463439,1.31607401295249,1.35568428155284e-07,"settled",NA
0.00235354689365025,1.31607401295249,8.81409289893499e-08,"settled",NA
0.003610640787641,1.31607401295249,5.46020676540507e-08,"settled",NA
0.00553918298061075,1.31607401295249,3.39552098293549e-08,"settled",NA
0.00849781240983936,1.31607401295249,2.13903317840042e-08,"settled",NA
0.0130367268973768,1.31607401295249,1.36210319407453e-08,"settled",NA
0.02,1.31607401295249,8.74476290706597e-09,"settled",NA
0.001,1.73205080756888,5.41451938834762e-08,"settled",NA
0.00153412740463439,1.73205080756888,3.4583548984488e-08,"settled",NA
0.00235354689365025,1.73205080756888,2.13527533375222e-08,"settled",NA
0.003610640787641,1.73205080756888,1.33039396747111e-08,"settled",NA
0.00553918298061075,1.73205080756888,8.39604107754038e-09,"settled",NA
0.00849781240983936,1.73205080756888,5.35295297688152e-09,"settled",NA
0.0130367268973768,1.73205080756888,3.4389346784237e-09,"settled",NA
0.02,1.73205080756888,2.22150840633084e-09,"settled",NA
0.001,2.27950705695478,1.74097415475166e-08,"settled",NA
0.00153412740463439,2.27950705695478,1.07418828201945e-08,"settled",NA
0.00235354689365025,2.27950705695478,6.6824264279477e-09,"settled",NA
0.003610640787641,2.27950705695478,4.21177375588162e-09,"settled",NA
0.00553918298061075,2.27950705695478,2.68240739759004e-09,"settled",NA
0.00849781240983936,2.27950705695478,1.72177569944494e-09,"settled",NA
0.0130367268973768,2.27950705695478,1.11143021096899e-09,"settled",NA
0.02,2.27950705695478,7.20248414434047e-10,"settled",NA
0.001,3,5.8598911692161e-09,"settled",NA
0.00153412740463439,3,3.63303878962623e-09,"settled",NA
0.00235354689365025,3,2.28310201233947e-09,"settled",NA
0.003610640787641,3,1.45079432912743e-09,"settled",NA
0.00553918298061075,3,9.29644973593661e-10,"settled",NA
0.00849781240983936,3,5.99339356995191e-10,"settled",NA
0.0130367268973768,3,3.88034737184842e-10,"settled",NA
0.02,3,2.51904467486121e-10,"settled",NA
