"rel_amplitude","mean_yield","threshold_frac","threshold_bp","fish_level","schedule","mean_effort","background_level","effective_window","n_bursts"
1.50815012945692,0.00999294902342454,0.1,0.00638097235521545,1,"Threshold (peaks)",0.74013540647265,0,6.4,1
1.41773834415278,0.00159261863735869,0.1,0.00638097235521545,1,"Threshold (troughs)",0.235042332617743,0,1.4,2
1.50357077144445,0.00919679310634787,0.3,0.00779593603920248,1,"Threshold (peaks)",0.627380281924774,0,5.4,1
1.41958351369318,0.00245463524146208,0.3,0.00779593603920248,1,"Threshold (troughs)",0.359961514444164,0,2.3,2
1.46868437731249,0.00763039954690914,0.5,0.010145178831359,1,"Threshold (peaks)",0.430948033164098,0,1.7,2
1.42040770378606,0.00406370713192316,0.5,0.010145178831359,1,"Threshold (troughs)",0.568326630480077,0,3.6,2
1.47349187095186,0.00626374852591378,0.7,0.0122214640251192,1,"Threshold (peaks)",0.281965190719058,0,1.2,1
1.42065128520186,0.00536562367560649,0.7,0.0122214640251192,1,"Threshold (troughs)",0.719676527325015,0,5.8,1
1.48325889944729,0.00339363810701643,0.9,0.0442502074910694,1,"Threshold (peaks)",0.0498492469458767,0,0.6,1
1.42803672372982,0.00802578200231402,0.9,0.0442502074910694,1,"Threshold (troughs)",0.949990857178943,0,NA,0
1.59936119178696,0.0220532577183457,0.1,0.00638097235521545,3,"Threshold (peaks)",1.94321678125985,0,1.4,1
1.42076205934547,0.00530981380120459,0.1,0.00638097235521545,3,"Threshold (troughs)",0.999422342901615,0,2.2,2
1.57776626235243,0.0202834334848881,0.3,0.00779593603920248,3,"Threshold (peaks)",1.614974289848,0,2.1,2
1.42182969120089,0.00765634487352875,0.3,0.00779593603920248,3,"Threshold (troughs)",1.44211010149035,0,3.1,2
1.54201573551062,0.0169813084106353,0.5,0.010145178831359,3,"Threshold (peaks)",1.1058454972015,0,0.6,3
1.36852168855445,0.0120167474764242,0.5,0.010145178831359,3,"Threshold (troughs)",2.18158870302026,0,5.8,1
1.60717269399775,0.0141112037815436,0.7,0.0122214640251192,3,"Threshold (peaks)",0.745102809757584,0,0.8,1
1.4215988809747,0.0135783778975363,0.7,0.0122214640251192,3,"Threshold (troughs)",2.46034097131638,0,6,1
1.58063718920745,0.00731552283202706,0.9,0.0442502074910694,3,"Threshold (peaks)",0.131105471501399,0,0.6,1
1.4001110004385,0.0195467154866812,0.9,0.0442502074910694,3,"Threshold (troughs)",2.86806742070486,0,NA,0
1.63111095740164,0.0277045444951235,0.1,0.00638097235521545,5,"Threshold (peaks)",2.75414374902037,0,1.2,1
1.42041367894769,0.00889824897015494,0.1,0.00638097235521545,5,"Threshold (troughs)",2.09373536281688,0,2.8,2
1.65383717800708,0.0254864210434948,0.3,0.00779593603920248,5,"Threshold (peaks)",2.24126386536448,0,1.66666666666667,3
1.39040442473881,0.0127415580810689,0.3,0.00779593603920248,5,"Threshold (troughs)",2.95016883792871,0,3.8,2
1.63140532495052,0.0216249721468298,0.5,0.010145178831359,5,"Threshold (peaks)",1.53474383300637,0,1,1
1.4179934074684,0.0172962542026147,0.5,0.010145178831359,5,"Threshold (troughs)",4.00863115468904,0,6,1
1.64870203622542,0.018311579775364,0.7,0.0122214640251192,5,"Threshold (peaks)",1.05788803795463,0,0.8,1
1.42570160508931,0.0189426754383403,0.7,0.0122214640251192,5,"Threshold (troughs)",4.33347222995465,0,6.2,1
1.61109603767206,0.00786518605673353,0.9,0.0442502074910694,5,"Threshold (peaks)",0.147890138689714,0,0.4,1
1.44868183623569,0.0251127935895352,0.9,0.0442502074910694,5,"Threshold (troughs)",4.75071940354282,0,NA,0
