"rel_amplitude","mean_yield","window","fish_level","schedule","mean_effort","resource_decrease","n_peaks","n_troughs"
1.68031808781705,9.84318423149908e-06,NA,0.2,"Constant",0.2,5e-04,53,52
1.71416383123125,2.70770865948884e-05,NA,0.6,"Constant",0.6,5e-04,53,52
1.69932989892492,3.7966843175122e-05,NA,1,"Constant",1,5e-04,53,52
1.61567467177541,5.26699130413217e-06,0.5,0.2,"Peaks only",0.0634730538922156,5e-04,53,52
1.61937035007103,4.02558098719637e-06,0.5,0.2,"Troughs only",0.0622754491017964,5e-04,53,52
1.61119597641495,7.89455241962672e-06,1.5,0.2,"Peaks only",0.112974051896208,5e-04,53,52
1.68793118552784,5.43569162505385e-06,1.5,0.2,"Troughs only",0.127744510978044,5e-04,53,52
1.62532466258446,8.53074740271174e-06,3,0.2,"Peaks only",0.1624750499002,5e-04,53,52
1.68031808781705,8.88416168600526e-06,3,0.2,"Troughs only",0.197205588822355,5e-04,53,52
1.63520106905481,1.3777691039857e-05,0.5,0.6,"Peaks only",0.190419161676647,5e-04,53,52
1.56175572201657,1.17041787559858e-05,0.5,0.6,"Troughs only",0.186826347305389,5e-04,53,52
1.59858247896739,2.07043045426266e-05,1.5,0.6,"Peaks only",0.338922155688623,5e-04,53,52
1.7491307884137,1.64749330576822e-05,1.5,0.6,"Troughs only",0.383233532934132,5e-04,53,52
1.7912394481442,2.09004767572659e-05,3,0.6,"Peaks only",0.487425149700599,5e-04,53,52
1.71382408318197,2.67874480355236e-05,3,0.6,"Troughs only",0.591616766467066,5e-04,53,52
1.62272420414839,2.13576512433217e-05,0.5,1,"Peaks only",0.317365269461078,5e-04,53,52
1.62153807561512,1.96923677614486e-05,0.5,1,"Troughs only",0.311377245508982,5e-04,53,52
1.56223948264456,3.07052226929116e-05,1.5,1,"Peaks only",0.564870259481038,5e-04,53,52
1.77797820557066,3.11025775829067e-05,1.5,1,"Troughs only",0.63872255489022,5e-04,53,52
1.71201126756822,3.87677138558175e-05,3,1,"Peaks only",0.812375249500998,5e-04,53,52
1.76138615135626,3.60737134463882e-05,3,1,"Troughs only",0.986027944111776,5e-04,53,52
1.64551318471528,9.72304873011696e-06,NA,0.2,"Constant",0.2,0.000662229357768171,41,41
1.6827225409231,2.58937532990205e-05,NA,0.6,"Constant",0.6,0.000662229357768171,41,41
1.68834525616683,4.0780983235487e-05,NA,1,"Constant",1,0.000662229357768171,41,41
1.57991308315987,3.53281668558978e-06,0.5,0.2,"Peaks only",0.0491017964071856,0.000662229357768171,41,41
1.63503266410711,1.96997879208944e-06,0.5,0.2,"Troughs only",0.0491017964071856,0.000662229357768171,41,41
1.59107983824017,5.16968229418702e-06,1.5,0.2,"Peaks only",0.0966067864271457,0.000662229357768171,41,41
1.67522326734567,4.54335761102467e-06,1.5,0.2,"Troughs only",0.114570858283433,0.000662229357768171,41,41
1.56656139437411,7.89917670730248e-06,3,0.2,"Peaks only",0.144910179640719,0.000662229357768171,41,41
1.66591213921868,8.63412859466659e-06,3,0.2,"Troughs only",0.184431137724551,0.000662229357768171,41,41
1.51549141350991,1.07168282608324e-05,0.5,0.6,"Peaks only",0.147305389221557,0.000662229357768171,41,41
1.71105905139913,6.89227328824321e-06,0.5,0.6,"Troughs only",0.147305389221557,0.000662229357768171,41,41
1.78584235512551,7.5558169249647e-06,1.5,0.6,"Peaks only",0.289820359281437,0.000662229357768171,41,41
1.72158568650144,1.7158909268847e-05,1.5,0.6,"Troughs only",0.343712574850299,0.000662229357768171,41,41
1.78767578832195,1.47128568673141e-05,3,0.6,"Peaks only",0.434730538922156,0.000662229357768171,41,41
1.67966431853136,2.52045255117544e-05,3,0.6,"Troughs only",0.553293413173653,0.000662229357768171,41,41
1.67403612133761,1.61022784223918e-05,0.5,1,"Peaks only",0.245508982035928,0.000662229357768171,41,41
1.68201572732477,1.22065466813933e-05,0.5,1,"Troughs only",0.245508982035928,0.000662229357768171,41,41
1.74544923935098,2.41699887675885e-05,1.5,1,"Peaks only",0.483033932135729,0.000662229357768171,41,41
1.71021136909272,2.93304425062106e-05,1.5,1,"Troughs only",0.572854291417166,0.000662229357768171,41,41
1.68993440734609,3.40755504177556e-05,3,1,"Peaks only",0.724550898203593,0.000662229357768171,41,41
1.73770225404203,3.78113056515163e-05,3,1,"Troughs only",0.922155688622755,0.000662229357768171,41,41
1.60761031628956,9.29993489929891e-06,NA,0.2,"Constant",0.2,0.000877095444580087,42,42
1.63706439657295,2.50559979882973e-05,NA,0.6,"Constant",0.6,0.000877095444580087,42,42
1.64514943145017,3.90959274797232e-05,NA,1,"Constant",1,0.000877095444580087,42,42
1.53543898820161,3.67995899788105e-06,0.5,0.2,"Peaks only",0.0502994011976048,0.000877095444580087,42,42
1.58585273045808,1.94873562499552e-06,0.5,0.2,"Troughs only",0.0502994011976048,0.000877095444580087,42,42
1.52406001764607,5.87905739345657e-06,1.5,0.2,"Peaks only",0.10059880239521,0.000877095444580087,42,42
1.64141415335383,4.39253067442809e-06,1.5,0.2,"Troughs only",0.116966067864271,0.000877095444580087,42,42
1.51989431492514,8.30252636919559e-06,3,0.2,"Peaks only",0.147704590818363,0.000877095444580087,42,42
1.6249867956894,8.15471165608934e-06,3,0.2,"Troughs only",0.185229540918164,0.000877095444580087,42,42
1.58286785719459,1.11830568179333e-05,0.5,0.6,"Peaks only",0.150898203592814,0.000877095444580087,42,42
