"t","fish_level","selected","total"
20.2,9,0.00376380315422322,0.292493392355253
20.4,9,0.00521964841755376,0.272115955460094
20.6,9,0.00892342843225722,0.249986923149026
20.8,9,0.0154068673399827,0.225261098943802
21,9,0.0223022160293722,0.202369663186637
21.2,9,0.0229515098323381,0.198423078372548
21.4,9,0.018642609884931,0.230389497858055
21.6,9,0.0135643639399307,0.285243039361793
21.8,9,0.0091570651667481,0.33746079570112
22,9,0.00652852531779897,0.378060691318463
22.2,9,0.00512910381260451,0.407901840576413
22.4,9,0.00435336593794164,0.428820684624045
22.6,9,0.00388403705716529,0.442431664916991
22.8,9,0.00356575501788787,0.45007988070057
23,9,0.00332383368326733,0.452858535620311
23.2,9,0.00312281600632781,0.451644467924613
23.4,9,0.00294573233317741,0.447135082578624
23.6,9,0.0027844137839813,0.439883679959
23.8,9,0.00263531964752543,0.43033006266893
24,9,0.00249796861600753,0.418823521019035
24.2,9,0.00237464367241603,0.40563765529848
24.4,9,0.00227090382886003,0.390978235061211
24.6,9,0.00219699447330606,0.374985418404343
24.8,9,0.00217097792697343,0.357731455248124
25,9,0.00222611081530287,0.339213338605657
25.2,9,0.00242985131676549,0.319335966248084
25.4,9,0.00293727228726595,0.297870716318243
25.6,9,0.00415159644898881,0.274342372627228
25.8,9,0.00719304755845366,0.24771951433805
26,9,0.0147248007362229,0.215907286324697
26.2,9,0.0278606586192559,0.178563694425017
26.4,9,0.0304597540877255,0.160088816719905
26.6,9,0.0184490978675129,0.214348299054378
26.8,9,0.0110965963187358,0.30935675438332
27,9,0.00738358266488615,0.381095882538929
27.2,9,0.00573051809207635,0.429511677284785
27.4,9,0.00492713198113795,0.463464853827193
27.6,9,0.00445706009227123,0.487553727554491
27.8,9,0.00414014582937386,0.504533082191423
28,9,0.00390402459852283,0.516125134288031
28.2,9,0.00371390830216929,0.523444290809301
28.4,9,0.00355076788067558,0.527261431162014
28.6,9,0.00340336318821362,0.528152698235235
28.8,9,0.00326474596954305,0.526569989131695
29,9,0.00313053345500319,0.522872992376936
29.2,9,0.00299800917145449,0.517348929710472
29.4,9,0.00286565241160857,0.510228614795299
29.6,9,0.00273290670474858,0.501698510852542
29.8,9,0.00260008745314254,0.491910378890919
30,9,0.00246833456340731,0.480985730798368
30.2,9,0.00233959805718308,0.469021098478822
30.4,9,0.00221655749078237,0.456088468400078
30.6,9,0.00210254559396124,0.442238039630435
30.8,9,0.00200151184318625,0.427498626052583
31,9,0.0019181573909522,0.411878531855632
31.2,9,0.00185858539171158,0.395365496993733
31.4,9,0.00183184657403929,0.37792407181268
31.6,9,0.0018535025248345,0.359489803703161
31.8,9,0.00195390122488926,0.339956338299457
32,9,0.00219916469606213,0.319149289293458
20.2,20,0.00192283932291534,0.290792253710379
20.4,20,0.00299399668465199,0.26999404927929
20.6,20,0.00528572215835223,0.24583660893451
20.8,20,0.00933606004159279,0.216673976826623
21,20,0.0134576343155594,0.186580257460542
21.2,20,0.0132774578486031,0.17662133910646
21.4,20,0.011004702365274,0.206788698466539
21.6,20,0.00760741105472954,0.265110470250356
21.8,20,0.00464844627049304,0.323073249737495
22,20,0.00322792216309379,0.366518094219152
22.2,20,0.00258732328159429,0.3968026472443
22.4,20,0.00224521530244206,0.416939357041036
22.6,20,0.00202599336399295,0.429192930161192
22.8,20,0.00186438621833362,0.435235561759933
23,20,0.0017337833749828,0.436315201739008
23.2,20,0.00162214613913306,0.433375832300163
23.4,20,0.0015235432847842,0.427138796947092
23.6,20,0.00143514082416391,0.418160627106668
23.8,20,0.0013562244773598,0.406873068931784
24,20,0.00128812279503325,0.393607623973596
24.2,20,0.0012347634188074,0.378607357469228
24.4,20,0.00120411043794344,0.362028369991113
24.6,20,0.00121152936316614,0.343931412611079
24.8,20,0.00128835425880386,0.324259459393086
25,20,0.00150621837538042,0.302783118604751
25.2,20,0.00205354721011916,0.278950743256257
25.4,20,0.00348870735793998,0.251429831016974
25.6,20,0.00743490289430417,0.216803980347091
25.8,20,0.016170006075993,0.168956231113512
26,20,0.0190486099788162,0.125173953960598
26.2,20,0.00920488142962124,0.170546959633746
26.4,20,0.00571734191637072,0.282423157487578
