"m","P_star","tau_critical","tau_tested","predicted_period","measured_period","n_peaks_found"
0.05,9,34.8069391351308,52.2104087026962,139.627753840611,246.97,6
0.1,4,19.4374836149246,29.1562254223869,78.5498662209775,130.7,12
0.15,2.33333333333333,14.667476911081,22.0012153666215,59.8695113730281,94.228125,17
0.2,1.5,12.7053118876375,19.0579678314563,52.4200232568729,79.0775,21
0.25,1,12.0914424464322,18.1371636696483,50.3631817523937,74.5404761904762,22
0.3,0.666666666666667,12.5247093917664,18.7870640876496,52.4947243666677,78.5657894736842,20
0.35,0.428571428571429,14.3013536947202,21.4520305420802,60.0004157343601,93.196875,17
0.4,0.25,18.8760475103048,28.3140712654572,78.699849344545,128.95,12
0.45,0.111111111111111,34.0356450968,51.0534676452001,139.740617233675,243.99,6
