"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","fraction_of_unfished"
1,1.2622446470225,1.25917227943416,0.0128149253364496,1.24942972168605,0.0128149253364496,0.00528657796320338,0.980305302651683
2,1.2375434147803,1.22777072547263,0.0107768092597373,1.22676660552056,0.0215536185194746,0.0176301540390209,0.961121423356828
3,1.21430029423321,1.20032094179935,0.00925203898904164,1.20504825524417,0.0277561169671249,0.0267219555698414,0.943069966869189
5,1.17346276047459,1.15544948400716,0.00714661907143598,1.16631614140316,0.0357330953571799,0.0379482096423887,0.91135404635788
9,1.11291211465298,1.09516499577231,0.00483081660637853,1.1080812980466,0.0434773494574068,0.0448984547574505,0.864328202898822
15,1.05774285271624,1.04319668780753,0.00320238968356844,1.05454046303267,0.0480358452535266,0.0431484849575145,0.821481738746615
20,1.02961722933725,1.0171754285533,0.00248669562769502,1.02713053370956,0.0497339125539005,0.0396117773147467,0.799638352201985
30,0.996244840234057,0.986223968937714,0.00171058641316996,0.994534253820887,0.0513175923950989,0.033349498277257,0.773720135731674
50,0.965487083038437,0.957285003888259,0.00104851057203062,0.964438572466406,0.0524255286015309,0.0256890627418886,0.749832537913244
70,0.951247554398025,0.943546017015574,0.000754831730188276,0.950492722667837,0.0528382211131793,0.0217776958508598,0.738773599801378
100,0.940204923343461,0.9328506804479,0.000531185235114394,0.939673738108346,0.0531185235114394,0.0249535914556098,0.730197489137292
