"param","min_fraction","max_fraction","log10_range"
"ks",3.60163484361752e-65,0.000343896734206915,60.9799283723815
"alpha",3.24867532333145e-28,0.922989014376408,27.4534902224048
"kappa",1.35101646697729e-06,0.000495661111031909,2.56452420353587
"gamma",2.19707972191931e-05,0.000466516360391576,1.32702106298721
