"tau","amp_shortest","amp_longest","decay_ratio"
20,0.0327138375391682,0,0
25,0.0542101829460229,0,0
30,0.0733270289423623,2.1703472352641e-12,2.95981886429637e-11
35,0.0975755637234338,8.4932477717451e-11,8.70427743140505e-10
40,0.088339545738157,6.12302500369209e-10,6.93123895139902e-09
50,0.118344642998974,6.94695363736583e-09,5.87010401258811e-08
60,0.162910105777119,1.80435272975913e-07,1.10757569099348e-06
80,0.132200397329331,4.97596187293232e-06,3.7639537954916e-05
100,0.181634309063503,4.07938192343217e-05,0.000224593136861931
